family,label,n_qubits,initial,depth,target_observable,noise_model,p_x,p_z,p_readout,realistic,decoder,seed,trials,failures,logical_failure_rate,logical_failure_ci_low,logical_failure_ci_high,syndrome_rate,retained_fraction,decoder_runtime_ms
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,3,160,6,0.0375,0.008061743640290105,0.06693825635970989,0.0,1.0,0.4639960825443268
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,4,160,10,0.0625,0.02499218831363259,0.10000781168636741,0.0,1.0,0.4555720370262861
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,5,160,14,0.0875,0.04371588829837928,0.13128411170162071,0.0,1.0,0.4853599239140749
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,6,160,14,0.0875,0.04371588829837928,0.13128411170162071,0.0,1.0,0.46295998618006706
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,7,160,7,0.04375,0.012056453979161622,0.07544354602083837,0.0,1.0,0.4684280138462782
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,8,160,9,0.05625,0.02054855241905449,0.0919514475809455,0.0,1.0,0.45873504132032394
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,9,160,9,0.05625,0.02054855241905449,0.0919514475809455,0.0,1.0,0.460637966170907
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,10,160,12,0.075,0.03418708844005367,0.11581291155994633,0.0,1.0,0.4511179868131876
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,11,160,11,0.06875,0.02954282292264592,0.10795717707735408,0.0,1.0,0.45591709204018116
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,12,160,16,0.1,0.053514518395524825,0.1464854816044752,0.0,1.0,0.44543109834194183
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,13,160,11,0.06875,0.02954282292264592,0.10795717707735408,0.0,1.0,0.46142912469804287
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,14,160,10,0.0625,0.02499218831363259,0.10000781168636741,0.0,1.0,0.5650820676237345
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,15,160,11,0.06875,0.02954282292264592,0.10795717707735408,0.0,1.0,0.8029008749872446
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,16,160,13,0.08125,0.0389143296453806,0.1235856703546194,0.0,1.0,0.7860290352255106
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,17,160,13,0.08125,0.0389143296453806,0.1235856703546194,0.0,1.0,0.9165010415017605
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,18,160,18,0.1125,0.06353829621530721,0.1614617037846928,0.0,1.0,0.8179971482604742
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,19,160,8,0.05,0.016229080557378962,0.08377091944262105,0.0,1.0,0.8492178749293089
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,0,160,0,0.0,0.0,0.0,0.45625,1.0,16.77646883763373
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,1,160,3,0.01875,0.0,0.03976776592254752,0.35,1.0,10.803723009303212
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,2,160,4,0.025,0.0008081883687889174,0.049191811631211085,0.3875,1.0,10.924285044893622
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,3,160,4,0.025,0.0008081883687889174,0.049191811631211085,0.4375,1.0,10.217447998002172
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,4,160,1,0.00625,0.0,0.018461658747893343,0.3875,1.0,9.380253963172436
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,5,160,2,0.0125,0.0,0.029715499920130114,0.40625,1.0,9.53689799644053
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,6,160,1,0.00625,0.0,0.018461658747893343,0.45625,1.0,10.1581159979105
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,7,160,0,0.0,0.0,0.0,0.40625,1.0,10.470427107065916
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,8,160,2,0.0125,0.0,0.029715499920130114,0.3875,1.0,13.20904796011746
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,9,160,0,0.0,0.0,0.0,0.40625,1.0,10.008248966187239
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,10,160,2,0.0125,0.0,0.029715499920130114,0.475,1.0,10.197886964306235
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,11,160,4,0.025,0.0008081883687889174,0.049191811631211085,0.375,1.0,8.984376909211278
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,12,160,0,0.0,0.0,0.0,0.4625,1.0,12.977774953469634
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,13,160,1,0.00625,0.0,0.018461658747893343,0.375,1.0,9.711755905300379
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,14,160,1,0.00625,0.0,0.018461658747893343,0.41875,1.0,11.104407021775842
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,15,160,1,0.00625,0.0,0.018461658747893343,0.49375,1.0,10.66423300653696
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,16,160,4,0.025,0.0008081883687889174,0.049191811631211085,0.39375,1.0,13.072671135887504
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,17,160,4,0.025,0.0008081883687889174,0.049191811631211085,0.49375,1.0,11.74442283809185
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,18,160,3,0.01875,0.0,0.03976776592254752,0.46875,1.0,13.146894983947277
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,standard_mwpm,19,160,4,0.025,0.0008081883687889174,0.049191811631211085,0.4,1.0,11.630274122580886
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,physics_aware_mwpm,0,160,3,0.01875,0.0,0.03976776592254752,0.45625,1.0,11.251035146415234
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,physics_aware_mwpm,1,160,3,0.01875,0.0,0.03976776592254752,0.35,1.0,9.40441689454019
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,physics_aware_mwpm,2,160,3,0.01875,0.0,0.03976776592254752,0.3875,1.0,10.14388888143003
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,physics_aware_mwpm,3,160,4,0.025,0.0008081883687889174,0.049191811631211085,0.4375,1.0,14.712752075865865
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,physics_aware_mwpm,4,160,3,0.01875,0.0,0.03976776592254752,0.3875,1.0,12.021798873320222
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,physics_aware_mwpm,5,160,4,0.025,0.0008081883687889174,0.049191811631211085,0.40625,1.0,13.494858983904123
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,physics_aware_mwpm,6,160,2,0.0125,0.0,0.029715499920130114,0.45625,1.0,11.250452836975455
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,physics_aware_mwpm,7,160,2,0.0125,0.0,0.029715499920130114,0.40625,1.0,11.81730697862804
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,physics_aware_mwpm,8,160,5,0.03125,0.0042895616805846415,0.05821043831941536,0.3875,1.0,13.08215013705194
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,physics_aware_mwpm,9,160,2,0.0125,0.0,0.029715499920130114,0.40625,1.0,11.215964099392295
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,physics_aware_mwpm,10,160,4,0.025,0.0008081883687889174,0.049191811631211085,0.475,1.0,11.051975889131427
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,physics_aware_mwpm,11,160,6,0.0375,0.008061743640290105,0.06693825635970989,0.375,1.0,9.11316811107099
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,physics_aware_mwpm,12,160,3,0.01875,0.0,0.03976776592254752,0.4625,1.0,11.008854024112225
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,physics_aware_mwpm,13,160,3,0.01875,0.0,0.03976776592254752,0.375,1.0,12.588134966790676
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,physics_aware_mwpm,14,160,4,0.025,0.0008081883687889174,0.049191811631211085,0.41875,1.0,16.172536881640553
