n_qubits,family,label,initial,depth,lambda_fim,optimise,method,resource_seed,basis_gates,raw_depth,raw_two_qubit_gates,transpiled_depth,transpiled_size,transpiled_two_qubit_gates,ops
6,resource_stress,n6_even_probe,000011,4,,False,vqs_two_local,1,rz sx x cx,13,10,43,148,10,"{""cx"": 10, ""rz"": 84, ""sx"": 54}"
6,resource_stress,n6_even_probe,000011,4,,False,vqs_two_local,2,rz sx x cx,13,10,43,148,10,"{""cx"": 10, ""rz"": 84, ""sx"": 54}"
6,resource_stress,n6_even_probe,000011,4,,False,vqs_two_local,3,rz sx x cx,13,10,43,148,10,"{""cx"": 10, ""rz"": 84, ""sx"": 54}"
6,resource_stress,n6_even_probe,000011,4,,False,vqs_two_local,4,rz sx x cx,13,10,43,148,10,"{""cx"": 10, ""rz"": 84, ""sx"": 54}"
8,resource_stress,n8_even_probe,00000011,3,,False,trotter_reference,0,rz sx x cx,25,42,97,283,42,"{""cx"": 42, ""rz"": 127, ""sx"": 102, ""x"": 12}"
8,resource_stress,n8_even_probe,00000011,3,,False,trotter_reference,1,rz sx x cx,25,42,97,283,42,"{""cx"": 42, ""rz"": 127, ""sx"": 102, ""x"": 12}"
8,resource_stress,n8_even_probe,00000011,3,,False,trotter_reference,2,rz sx x cx,25,42,97,283,42,"{""cx"": 42, ""rz"": 127, ""sx"": 102, ""x"": 12}"
8,resource_stress,n8_even_probe,00000011,3,,False,trotter_reference,3,rz sx x cx,25,42,97,283,42,"{""cx"": 42, ""rz"": 127, ""sx"": 102, ""x"": 12}"
8,resource_stress,n8_even_probe,00000011,3,,False,trotter_reference,4,rz sx x cx,25,42,97,283,42,"{""cx"": 42, ""rz"": 127, ""sx"": 102, ""x"": 12}"
8,resource_stress,n8_even_probe,00000011,3,,False,vqs_topology_informed,0,rz sx x cx,25,56,52,205,56,"{""cx"": 56, ""rz"": 90, ""sx"": 59}"
8,resource_stress,n8_even_probe,00000011,3,,False,vqs_topology_informed,1,rz sx x cx,25,56,52,205,56,"{""cx"": 56, ""rz"": 90, ""sx"": 59}"
8,resource_stress,n8_even_probe,00000011,3,,False,vqs_topology_informed,2,rz sx x cx,25,56,52,205,56,"{""cx"": 56, ""rz"": 90, ""sx"": 59}"
8,resource_stress,n8_even_probe,00000011,3,,False,vqs_topology_informed,3,rz sx x cx,25,56,52,205,56,"{""cx"": 56, ""rz"": 90, ""sx"": 59}"
8,resource_stress,n8_even_probe,00000011,3,,False,vqs_topology_informed,4,rz sx x cx,25,56,52,205,56,"{""cx"": 56, ""rz"": 90, ""sx"": 59}"
8,resource_stress,n8_even_probe,00000011,3,,False,vqs_efficient_su2,0,rz sx x cx,15,14,24,134,14,"{""cx"": 14, ""rz"": 72, ""sx"": 48}"
8,resource_stress,n8_even_probe,00000011,3,,False,vqs_efficient_su2,1,rz sx x cx,15,14,24,134,14,"{""cx"": 14, ""rz"": 72, ""sx"": 48}"
8,resource_stress,n8_even_probe,00000011,3,,False,vqs_efficient_su2,2,rz sx x cx,15,14,24,134,14,"{""cx"": 14, ""rz"": 72, ""sx"": 48}"
8,resource_stress,n8_even_probe,00000011,3,,False,vqs_efficient_su2,3,rz sx x cx,15,14,24,134,14,"{""cx"": 14, ""rz"": 72, ""sx"": 48}"
8,resource_stress,n8_even_probe,00000011,3,,False,vqs_efficient_su2,4,rz sx x cx,15,14,24,134,14,"{""cx"": 14, ""rz"": 72, ""sx"": 48}"
8,resource_stress,n8_even_probe,00000011,3,,False,vqs_two_local,0,rz sx x cx,15,14,51,202,14,"{""cx"": 14, ""rz"": 114, ""sx"": 74}"
8,resource_stress,n8_even_probe,00000011,3,,False,vqs_two_local,1,rz sx x cx,15,14,51,202,14,"{""cx"": 14, ""rz"": 114, ""sx"": 74}"
8,resource_stress,n8_even_probe,00000011,3,,False,vqs_two_local,2,rz sx x cx,15,14,51,202,14,"{""cx"": 14, ""rz"": 114, ""sx"": 74}"
8,resource_stress,n8_even_probe,00000011,3,,False,vqs_two_local,3,rz sx x cx,15,14,51,202,14,"{""cx"": 14, ""rz"": 114, ""sx"": 74}"
8,resource_stress,n8_even_probe,00000011,3,,False,vqs_two_local,4,rz sx x cx,15,14,51,202,14,"{""cx"": 14, ""rz"": 114, ""sx"": 74}"
