n_qubits,family,label,initial,depth,lambda_fim,optimise,ansatz,seed,optimizer,maxiter,num_parameters,n_evals,optimizer_success,best_loss,fidelity,target_parity_survival,candidate_parity_survival,parity_error,target_exact_state_retention,candidate_exact_state_retention,retention_error,target_magnetisation_expectation,candidate_magnetisation_expectation,promoted_accuracy_gate
4,dla_parity,n4_odd_signal,0001,6,,True,efficient_su2,23,COBYLA,60,24,60,False,0.4014029278586507,0.5985970721413493,1.000000000000003,0.6896035007579608,0.31039649924204227,0.19715622392059598,0.11568197463519048,0.0814742492854055,2.000000000000006,1.2814525286705394,False
4,dla_parity,n4_odd_signal,0001,6,,True,efficient_su2,37,COBYLA,60,24,60,False,0.5026051718219405,0.49739482817805947,1.000000000000003,0.8804124351954287,0.11958756480457444,0.19715622392059598,0.01818624327271599,0.17896998064788,2.000000000000006,1.0891240390837018,False
4,dla_parity,n4_odd_signal,0001,6,,True,efficient_su2,41,COBYLA,60,24,60,False,0.2591411477943574,0.7408588522056426,1.000000000000003,0.875109748108833,0.12489025189117009,0.19715622392059598,0.016272604805852492,0.1808836191147435,2.000000000000006,1.7425392268756168,False
4,dla_parity,n4_odd_signal,0001,6,,True,efficient_su2,53,COBYLA,60,24,60,False,0.5309660480661019,0.4690339519338981,1.000000000000003,0.9148730360105564,0.08512696398944675,0.19715622392059598,0.2438737975089041,0.04671757358830811,2.000000000000006,0.6586696189509624,False
4,dla_parity,n4_odd_signal,0001,6,,True,two_local,11,COBYLA,60,24,60,False,0.24184072926273803,0.758159270737262,1.000000000000003,0.9645178392135815,0.035482160786421635,0.19715622392059598,0.037681258870419614,0.15947496505017636,2.000000000000006,1.895559620934215,False
4,dla_parity,n4_odd_signal,0001,6,,True,two_local,23,COBYLA,60,24,60,False,0.34110013443854803,0.658899865561452,1.000000000000003,0.7253792690011722,0.2746207309988309,0.19715622392059598,0.03933854440064381,0.15781767951995218,2.000000000000006,1.8565559392671462,False
4,dla_parity,n4_odd_signal,0001,6,,True,two_local,37,COBYLA,60,24,60,False,0.32166078167060674,0.6783392183293933,1.000000000000003,0.8445750053970992,0.15542499460290393,0.19715622392059598,0.20553396372445865,0.008377739803862666,2.000000000000006,1.6610736058305164,False
4,dla_parity,n4_odd_signal,0001,6,,True,two_local,41,COBYLA,60,24,60,False,0.2092601335713593,0.7907398664286407,1.000000000000003,0.8286595896110585,0.17134041038894465,0.19715622392059598,0.10692667577141463,0.09022954814918135,2.000000000000006,1.9305338647189685,False
4,dla_parity,n4_odd_signal,0001,6,,True,two_local,53,COBYLA,60,24,60,False,0.45460337196743106,0.5453966280325689,1.000000000000003,0.747718520781139,0.2522814792188641,0.19715622392059598,0.050139865139487316,0.14701635878110866,2.000000000000006,1.4123895136154312,False
4,popcount_control,n4_even_control,0101,10,,True,topology_informed,11,COBYLA,60,16,60,False,0.4843419236340596,0.5156580763659404,1.0000000000000053,0.6929304615483175,0.30706953845168783,0.19169313586150646,0.18590719863284275,0.005785937228663718,4.81482486096809e-35,-0.2986791056328091,False
4,popcount_control,n4_even_control,0101,10,,True,topology_informed,23,COBYLA,60,16,60,False,0.4157236216376926,0.5842763783623074,1.0000000000000053,0.7358820646268658,0.26411793537313955,0.19169313586150646,0.073110179386575,0.11858295647493146,4.81482486096809e-35,-0.4388647031895113,False
4,popcount_control,n4_even_control,0101,10,,True,topology_informed,37,COBYLA,60,16,60,False,0.39786756032162274,0.6021324396783773,1.0000000000000053,0.8654303132256111,0.13456968677439418,0.19169313586150646,0.36416462764978264,0.17247149178827617,4.81482486096809e-35,-0.06929042187553744,False
4,popcount_control,n4_even_control,0101,10,,True,topology_informed,41,COBYLA,60,16,60,False,0.37812942207691935,0.6218705779230806,1.0000000000000053,0.9135694382582942,0.08643056174171115,0.19169313586150646,0.0006430482821558887,0.19105008757935057,4.81482486096809e-35,-0.13561145566885283,False
4,popcount_control,n4_even_control,0101,10,,True,topology_informed,53,COBYLA,60,16,60,False,0.25819837908433874,0.7418016209156613,1.0000000000000053,0.9511452977773442,0.048854702222661084,0.19169313586150646,0.0730798481637234,0.11861328769778307,4.81482486096809e-35,-0.17284390602184266,False
4,popcount_control,n4_even_control,0101,10,,True,efficient_su2,11,COBYLA,60,24,60,False,0.31384121094627127,0.6861587890537287,1.0000000000000053,0.9030244667616529,0.0969755332383524,0.19169313586150646,0.04612842872709215,0.14556470713441433,4.81482486096809e-35,-0.13262431781453066,False
4,popcount_control,n4_even_control,0101,10,,True,efficient_su2,23,COBYLA,60,24,60,False,0.26238477902284774,0.7376152209771523,1.0000000000000053,0.8860876858841341,0.11391231411587122,0.19169313586150646,0.12134461346688846,0.070348522394618,4.81482486096809e-35,-0.013354671370370455,False
4,popcount_control,n4_even_control,0101,10,,True,efficient_su2,37,COBYLA,60,24,60,False,0.32898773585608043,0.6710122641439196,1.0000000000000053,0.7935308923112778,0.2064691076887275,0.19169313586150646,0.21232675957064265,0.020633623709136184,4.81482486096809e-35,0.008017888625696135,False
4,popcount_control,n4_even_control,0101,10,,True,efficient_su2,41,COBYLA,60,24,60,False,0.4807798728720545,0.5192201271279455,1.0000000000000053,0.7212915396731175,0.2787084603268878,0.19169313586150646,0.19001980294389717,0.0016733329176092937,4.81482486096809e-35,0.1454639165261292,False
4,popcount_control,n4_even_control,0101,10,,True,efficient_su2,53,COBYLA,60,24,60,False,0.37021541410075587,0.6297845858992441,1.0000000000000053,0.8898150497512468,0.11018495024875852,0.19169313586150646,0.0020412647269251656,0.1896518711345813,4.81482486096809e-35,0.14100563751840656,False
4,popcount_control,n4_even_control,0101,10,,True,two_local,11,COBYLA,60,24,60,False,0.6435238224429457,0.3564761775570543,1.0000000000000053,0.8678423682951586,0.13215763170484673,0.19169313586150646,0.24259173442725854,0.05089859856575207,4.81482486096809e-35,-0.47337160299353725,False
4,popcount_control,n4_even_control,0101,10,,True,two_local,23,COBYLA,60,24,60,False,0.47414260877853975,0.5258573912214602,1.0000000000000053,0.8507586293204253,0.14924137067958,0.19169313586150646,0.16735095013693838,0.02434218572456809,4.81482486096809e-35,0.38770421112334,False
4,popcount_control,n4_even_control,0101,10,,True,two_local,37,COBYLA,60,24,60,False,0.39353825201847303,0.606461747981527,1.0000000000000053,0.9183618007977177,0.08163819920228765,0.19169313586150646,0.0010424314056120757,0.19065070445589438,4.81482486096809e-35,0.1185649234395963,False
4,popcount_control,n4_even_control,0101,10,,True,two_local,41,COBYLA,60,24,60,False,0.5097335601754336,0.49026643982456647,1.0000000000000053,0.5920637973879873,0.407936202612018,0.19169313586150646,0.19097769346312649,0.0007154423983799785,4.81482486096809e-35,0.18858003103744989,False
4,popcount_control,n4_even_control,0101,10,,True,two_local,53,COBYLA,60,24,60,False,0.4565415138334773,0.5434584861665227,1.0000000000000053,0.7929164626962706,0.20708353730373474,0.19169313586150646,0.07576949546085673,0.11592364040064973,4.81482486096809e-35,0.04667907160256021,False
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,topology_informed,11,COBYLA,60,16,60,False,0.12409760051827057,0.8759023994817294,1.000000000000002,0.9746154573533496,0.025384542646652353,0.5283783902808542,0.6304325868057328,0.10205419652487857,-7.733812432929996e-34,0.03149971062318062,False
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,topology_informed,23,COBYLA,60,16,60,False,0.22266966993698778,0.7773303300630122,1.000000000000002,0.9087709070526541,0.09122909294734793,0.5283783902808542,0.5470321738770582,0.018653783596203954,-7.733812432929996e-34,-0.020315188390865255,False
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,topology_informed,37,COBYLA,60,16,60,False,0.30335770538999585,0.6966422946100042,1.000000000000002,0.9465852057041206,0.05341479429588136,0.5283783902808542,0.4249843702384239,0.10339402004243031,-7.733812432929996e-34,-0.09789400584320887,False
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,topology_informed,41,COBYLA,60,16,60,False,0.5238414850086397,0.47615851499136025,1.000000000000002,0.6539962429933784,0.34600375700662356,0.5283783902808542,0.420739314379423,0.10763907590143118,-7.733812432929996e-34,-0.0997131752262492,False
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,topology_informed,53,COBYLA,60,16,60,False,0.13079555640621543,0.8692044435937846,1.000000000000002,0.9647938730068144,0.03520612699318759,0.5283783902808542,0.5702562291543383,0.04187783887348406,-7.733812432929996e-34,-0.07171755336232793,False
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,efficient_su2,11,COBYLA,60,24,60,False,0.22815389110827755,0.7718461088917224,1.000000000000002,0.8661892051081932,0.1338107948918088,0.5283783902808542,0.4485061329824817,0.0798722572983725,-7.733812432929996e-34,0.14449443983165589,False
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,efficient_su2,23,COBYLA,60,24,60,False,0.17255306014242267,0.8274469398575773,1.000000000000002,0.8896686456890495,0.11033135431095253,0.5283783902808542,0.4668795989928532,0.06149879128800101,-7.733812432929996e-34,0.0098469613269582,False
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,efficient_su2,37,COBYLA,60,24,60,False,0.40558341742601034,0.5944165825739897,1.000000000000002,0.7898618269138226,0.21013817308617944,0.5283783902808542,0.29133248108363,0.23704590919722418,-7.733812432929996e-34,-0.3125189174642853,False
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,efficient_su2,41,COBYLA,60,24,60,False,0.3453140316329234,0.6546859683670766,1.000000000000002,0.819389684435152,0.18061031556484997,0.5283783902808542,0.32579366837625306,0.20258472190460114,-7.733812432929996e-34,-0.1652244644817582,False
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,efficient_su2,53,COBYLA,60,24,60,False,0.3548689884291434,0.6451310115708566,1.000000000000002,0.8096337940772264,0.19036620592277564,0.5283783902808542,0.4659172013795457,0.06246118890130853,-7.733812432929996e-34,-0.2560671771945935,False
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,two_local,11,COBYLA,60,24,60,False,0.2522516033659129,0.7477483966340871,1.000000000000002,0.9035296887725291,0.09647031122747285,0.5283783902808542,0.7304996635208129,0.20212127323995865,-7.733812432929996e-34,-0.05339781709629835,False
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,two_local,23,COBYLA,60,24,60,False,0.2921423079187365,0.7078576920812635,1.000000000000002,0.8518630429812049,0.14813695701879714,0.5283783902808542,0.39158341012061293,0.13679498016024128,-7.733812432929996e-34,-0.133648705773555,False
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,two_local,37,COBYLA,60,24,60,False,0.2144684305073674,0.7855315694926326,1.000000000000002,0.8747478942324813,0.12525210576752066,0.5283783902808542,0.5487408061405282,0.02036241585967402,-7.733812432929996e-34,0.1606946844341516,False
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,two_local,41,COBYLA,60,24,60,False,0.18841531410818435,0.8115846858918156,1.000000000000002,0.892926621717499,0.10707337828250296,0.5283783902808542,0.46654906759146275,0.06182932268939145,-7.733812432929996e-34,0.11714855069814382,False
4,fim_pair,n4_fim_lambda0,0011,4,0.0,True,two_local,53,COBYLA,60,24,60,False,0.3552938199272856,0.6447061800727144,1.000000000000002,0.8340824339429009,0.16591756605710106,0.5283783902808542,0.6445621801375185,0.11618378985666433,-7.733812432929996e-34,0.15508112862719858,False
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,topology_informed,11,COBYLA,60,16,60,False,0.11145610130707029,0.8885438986929297,1.000000000000004,0.9860078680061258,0.013992131993878165,0.5283783902808556,0.618795494735169,0.09041710445431339,1.022397966571193e-33,0.023114807312422964,False
