backend,job_id,block,depth,sector,initial,rep,shots,parity_leakage,same_parity_fraction,initial_state_retention,total_shots
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,odd,0001,9,4096,0.17041015625,0.82958984375,0.034912109375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,odd,0001,10,4096,0.1669921875,0.8330078125,0.03564453125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,odd,0001,11,4096,0.181640625,0.818359375,0.029052734375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,even,0011,0,4096,0.19873046875,0.80126953125,0.12255859375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,even,0011,1,4096,0.193359375,0.806640625,0.11279296875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,even,0011,2,4096,0.199462890625,0.800537109375,0.11181640625,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,even,0011,3,4096,0.207275390625,0.792724609375,0.118408203125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,even,0011,4,4096,0.189453125,0.810546875,0.118896484375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,even,0011,5,4096,0.18896484375,0.81103515625,0.12255859375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,even,0011,6,4096,0.201416015625,0.798583984375,0.124267578125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,even,0011,7,4096,0.199951171875,0.800048828125,0.110107421875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,even,0011,8,4096,0.209716796875,0.790283203125,0.10693359375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,even,0011,9,4096,0.210693359375,0.789306640625,0.116943359375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,even,0011,10,4096,0.19775390625,0.80224609375,0.12060546875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,even,0011,11,4096,0.1884765625,0.8115234375,0.11865234375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,odd,0001,0,4096,0.207275390625,0.792724609375,0.125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,odd,0001,1,4096,0.21484375,0.78515625,0.1240234375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,odd,0001,2,4096,0.202392578125,0.797607421875,0.1240234375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,odd,0001,3,4096,0.212646484375,0.787353515625,0.12109375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,odd,0001,4,4096,0.219482421875,0.780517578125,0.121826171875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,odd,0001,5,4096,0.20703125,0.79296875,0.121337890625,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,odd,0001,6,4096,0.20556640625,0.79443359375,0.1240234375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,odd,0001,7,4096,0.199462890625,0.800537109375,0.120849609375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,odd,0001,8,4096,0.19873046875,0.80126953125,0.118408203125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,odd,0001,9,4096,0.199951171875,0.800048828125,0.12939453125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,odd,0001,10,4096,0.20166015625,0.79833984375,0.12548828125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,20,odd,0001,11,4096,0.20166015625,0.79833984375,0.121826171875,4096
ibm_marrakesh,ibm-run-0f96961442e05a77,readout,0,readout,0011,0,8192,0.028564453125,0.971435546875,0.9713134765625,8192
ibm_marrakesh,ibm-run-0f96961442e05a77,readout,0,readout,0001,0,8192,0.02197265625,0.97802734375,0.97802734375,8192
ibm_marrakesh,ibm-run-0f96961442e05a77,readout,0,readout,0000,0,8192,0.020263671875,0.979736328125,0.9796142578125,8192
ibm_marrakesh,ibm-run-0f96961442e05a77,readout,0,readout,1111,0,8192,0.0306396484375,0.9693603515625,0.968994140625,8192
