lambda_fim,magnetisation,max_spacing,mean_r,median_r,min_spacing,n_qubits,n_spacings,scope
0.25,,1.179501467397122,0.398255656711135,0.341829516381725,0.0022173871104458343,8,255,full_spectrum
0.25,8,,,,,8,0,magnetisation_sector
0.25,6,2.3266013505222753,0.5681740883792171,0.46312805083762143,0.2538786020111381,8,7,magnetisation_sector
0.25,4,2.145929551449012,0.555073707228828,0.5493240278116092,0.03280424141700333,8,27,magnetisation_sector
0.25,2,2.037101055014995,0.4262720887942259,0.32784293678059395,0.015475213385765407,8,55,magnetisation_sector
0.25,0,1.8700858703035879,0.40325163795113755,0.36871698386316115,0.008499395100717733,8,69,magnetisation_sector
0.25,-2,2.0683823405136965,0.4766398229577497,0.4592826382786833,0.019332824188668107,8,55,magnetisation_sector
0.25,-4,2.306874865241187,0.3619273618063291,0.22434447250260953,0.013812135402702985,8,27,magnetisation_sector
0.25,-6,2.4892515147519205,0.4188982327210728,0.3301331052136944,0.12432523502245729,8,7,magnetisation_sector
0.25,-8,,,,,8,0,magnetisation_sector
0.5,,1.701870367621483,0.41115712833831586,0.360656266391484,0.00042486178358824844,8,255,full_spectrum
0.5,8,,,,,8,0,magnetisation_sector
0.5,6,2.3266013505222807,0.5681740883792169,0.46312805083761266,0.25387860201113455,8,7,magnetisation_sector
0.5,4,2.1459295514490186,0.5550737072288334,0.5493240278116172,0.032804241417002444,8,27,magnetisation_sector
0.5,2,2.037101055014965,0.426272088794223,0.3278429367806114,0.015475213385768072,8,55,magnetisation_sector
0.5,0,1.8700858703035879,0.40325163795113755,0.36871698386316115,0.008499395100717733,8,69,magnetisation_sector
0.5,-2,2.0683823405137094,0.47663982295775537,0.4592826382787011,0.019332824188668135,8,55,magnetisation_sector
0.5,-4,2.3068748652411815,0.3619273618063411,0.2243444725026142,0.013812135402702985,8,27,magnetisation_sector
0.5,-6,2.4892515147519125,0.41889823272106913,0.3301331052136961,0.12432523502245729,8,7,magnetisation_sector
0.5,-8,,,,,8,0,magnetisation_sector
1.0,,3.2172753935987792,0.3917923172645663,0.35810643321410474,0.0010017138150679727,8,255,full_spectrum
1.0,8,,,,,8,0,magnetisation_sector
1.0,6,2.3266013505222745,0.5681740883792155,0.46312805083760866,0.25387860201113277,8,7,magnetisation_sector
1.0,4,2.145929551449011,0.5550737072288271,0.5493240278116232,0.03280424141699889,8,27,magnetisation_sector
1.0,2,2.0371010550149666,0.4262720887942263,0.32784293678061804,0.015475213385765407,8,55,magnetisation_sector
1.0,0,1.8700858703035879,0.40325163795113755,0.36871698386316115,0.008499395100717733,8,69,magnetisation_sector
1.0,-2,2.068382340513692,0.4766398229577599,0.45928263827871196,0.019332824188668947,8,55,magnetisation_sector
1.0,-4,2.306874865241182,0.36192736180633045,0.22434447250260864,0.013812135402702985,8,27,magnetisation_sector
1.0,-6,2.489251514751913,0.4188982327210668,0.3301331052136972,0.12432523502245729,8,7,magnetisation_sector
1.0,-8,,,,,8,0,magnetisation_sector
2.0,,6.717275393598726,0.4446469719985684,0.3932926893444705,0.0010067336925612125,8,255,full_spectrum
2.0,8,,,,,8,0,magnetisation_sector
2.0,6,2.3266013505222816,0.56817408837921,0.4631280508375917,0.2538786020111239,8,7,magnetisation_sector
2.0,4,2.145929551449013,0.5550737072288277,0.5493240278116382,0.032804241417006,8,27,magnetisation_sector
2.0,2,2.0371010550149613,0.4262720887942313,0.32784293678063453,0.015475213385769848,8,55,magnetisation_sector
2.0,0,1.8700858703035879,0.40325163795113755,0.36871698386316115,0.008499395100717733,8,69,magnetisation_sector
