fim_energy_shift,ground_energy,lambda_fim,magnetisation,max_energy,mean_energy,median_energy,n_qubits,sector_dimension,spectral_gap,spectral_width
-2.25,2.2016295945989324,0.5,-6,9.366599299826667,7.104749999999998,7.857056685082812,8,8,2.4892515147519125,7.164969705227735
-4.0,8.473,0.5,-8,8.473,8.473,8.473,8,1,,0.0
-8.0,-20.473,1.0,8,-20.473,-20.473,-20.473,8,1,,0.0
-4.5,-17.255724606401266,1.0,6,-9.19638481265643,-13.854750000000005,-14.329164153824799,8,8,1.701870367621492,8.059339793744837
-2.0,-14.20122313900416,1.0,4,-1.259771621291422,-8.2365,-8.879805175627236,8,28,1.8959761665976647,12.941451517712737
-0.5,-11.293644221543943,1.0,2,3.424181323490931,-3.61825,-3.5591199359267867,8,56,2.0371010550149666,14.717825545034874
-0.0,-8.517357607123323,1.0,0,6.561454020933043,-3.552713678800501e-16,-0.04071808435889129,8,70,1.8700858703035879,15.078811628056366
-0.5,-5.889600562598504,1.0,-2,8.428518107908715,2.61825,2.594981619789544,8,56,2.068382340513692,14.31811867050722
-2.0,-3.30248306162971,1.0,-4,8.58360600333311,4.2364999999999995,4.600815755635599,8,28,2.306874865241182,11.88608906496282
-4.5,-0.04837040540106738,1.0,-6,7.116599299826668,4.854750000000001,5.607056685082815,8,8,2.489251514751913,7.164969705227736
-8.0,4.473000000000001,1.0,-8,4.473000000000001,4.473000000000001,4.473000000000001,8,1,,0.0
-16.0,-28.473,2.0,8,-28.473,-28.473,-28.473,8,1,,0.0
-9.0,-21.75572460640126,2.0,6,-13.696384812656433,-18.35475000000001,-18.8291641538248,8,8,1.7018703676214777,8.059339793744826
-4.0,-16.201223139004156,2.0,4,-3.2597716212914283,-10.236500000000003,-10.879805175627236,8,28,1.8959761665976664,12.941451517712729
-1.0,-11.79364422154394,2.0,2,2.924181323490925,-4.118250000000001,-4.059119935926786,8,56,2.0371010550149613,14.717825545034865
-0.0,-8.517357607123323,2.0,0,6.561454020933043,-3.552713678800501e-16,-0.04071808435889129,8,70,1.8700858703035879,15.078811628056366
-1.0,-6.389600562598515,2.0,-2,7.928518107908716,2.11825,2.094981619789544,8,56,2.0683823405137165,14.318118670507232
-4.0,-5.3024830616297125,2.0,-4,6.5836060033331005,2.236499999999999,2.6008157556355993,8,28,2.3068748652411784,11.886089064962814
-9.0,-4.548370405401066,2.0,-6,2.616599299826669,0.354750000000001,1.107056685082814,8,8,2.48925151475191,7.164969705227735
-16.0,-3.5269999999999992,2.0,-8,-3.5269999999999992,-3.5269999999999992,-3.5269999999999992,8,1,,0.0
-32.0,-44.473,4.0,8,-44.473,-44.473,-44.473,8,1,,0.0
-18.0,-30.75572460640125,4.0,6,-22.69638481265643,-27.354750000000003,-27.8291641538248,8,8,1.7018703676214741,8.059339793744822
-8.0,-20.201223139004153,4.0,4,-7.259771621291412,-14.236499999999996,-14.879805175627233,8,28,1.8959761665976522,12.941451517712741
-2.0,-12.79364422154394,4.0,2,1.92418132349094,-5.118250000000001,-5.059119935926786,8,56,2.0371010550149524,14.717825545034879
-0.0,-8.517357607123323,4.0,0,6.561454020933043,-3.552713678800501e-16,-0.04071808435889129,8,70,1.8700858703035879,15.078811628056366
-2.0,-7.389600562598524,4.0,-2,6.928518107908719,1.1182499999999995,1.094981619789544,8,56,2.068382340513719,14.318118670507243
-8.0,-9.302483061629712,4.0,-4,2.583606003333107,-1.7635,-1.3991842443644005,8,28,2.306874865241177,11.88608906496282
-18.0,-13.548370405401068,4.0,-6,-6.383400700173333,-8.64525,-7.892943314917188,8,8,2.489251514751917,7.164969705227735
-32.0,-19.527,4.0,-8,-19.527,-19.527,-19.527,8,1,,0.0
-64.0,-76.473,8.0,8,-76.473,-76.473,-76.473,8,1,,0.0
-36.0,-48.755724606401266,8.0,6,-40.69638481265642,-45.35475,-45.8291641538248,8,8,1.7018703676215026,8.059339793744847
-16.0,-28.201223139004185,8.0,4,-15.259771621291405,-22.2365,-22.879805175627226,8,28,1.8959761665976878,12.94145151771278
-4.0,-14.793644221543968,8.0,2,-0.0758186765090577,-7.118249999999999,-7.059119935926784,8,56,2.0371010550149844,14.71782554503491
-0.0,-8.517357607123323,8.0,0,6.561454020933043,-3.552713678800501e-16,-0.04071808435889129,8,70,1.8700858703035879,15.078811628056366
-4.0,-9.389600562598499,8.0,-2,4.92851810790871,-0.8817499999999997,-0.9050183802104554,8,56,2.068382340513672,14.318118670507209
-16.0,-17.30248306162971,8.0,-4,-5.416393996666899,-9.763499999999999,-9.399184244364402,8,28,2.306874865241177,11.886089064962814
-36.0,-31.548370405401062,8.0,-6,-24.383400700173333,-26.64524999999999,-25.892943314917183,8,8,2.4892515147519205,7.16496970522773
-64.0,-51.527,8.0,-8,-51.527,-51.527,-51.527,8,1,,0.0
