energy_above_global_ground,fim_energy_shift,ideal_unitary_sector_leakage,lambda_fim,magnetisation,n_qubits,off_sector_frobenius_norm,sector_dimension,sector_ground_energy
35.545214744390464,-0.0,0.0,8.0,0,4,0.0,6,-2.7577852556095337
31.022671758181247,-8.0,0.0,8.0,-2,4,0.0,4,-7.280328241818751
12.605999999999998,-32.0,0.0,8.0,-4,4,0.0,1,-25.697
0.0,-0.0,0.0,0.0,6,6,0.0,1,-10.793000000000001
0.44680698530075347,-0.0,0.0,0.0,4,6,0.0,6,-10.346193014699248
1.929856099711552,-0.0,0.0,0.0,2,6,0.0,15,-8.86314390028845
4.485773198086962,-0.0,0.0,0.0,0,6,0.0,20,-6.307226801913039
8.12734836804423,-0.0,0.0,0.0,-2,6,0.0,15,-2.665651631955772
13.758156549381663,-0.0,0.0,0.0,-4,6,0.0,6,2.965156549381662
21.586000000000002,-0.0,0.0,0.0,-6,6,0.0,1,10.793000000000001
0.0,-1.5,0.0,0.25,6,6,0.0,1,-12.293000000000001
1.2801403186340856,-0.6666666666666666,0.0,0.25,4,6,0.0,6,-11.012859681365915
3.263189433044891,-0.16666666666666666,0.0,0.25,2,6,0.0,15,-9.02981056695511
5.985773198086962,-0.0,0.0,0.25,0,6,0.0,20,-6.307226801913039
9.460681701377563,-0.16666666666666666,0.0,0.25,-2,6,0.0,15,-2.832318298622438
14.591489882714995,-0.6666666666666666,0.0,0.25,-4,6,0.0,6,2.2984898827149953
21.586000000000002,-1.5,0.0,0.25,-6,6,0.0,1,9.293000000000001
0.0,-3.0,0.0,0.5,6,6,0.0,1,-13.793000000000001
2.113473651967416,-1.3333333333333333,0.0,0.5,4,6,0.0,6,-11.679526348032585
4.59652276637822,-0.3333333333333333,0.0,0.5,2,6,0.0,15,-9.196477233621781
7.485773198086962,-0.0,0.0,0.5,0,6,0.0,20,-6.307226801913039
10.794015034710899,-0.3333333333333333,0.0,0.5,-2,6,0.0,15,-2.998984965289103
15.42482321604833,-1.3333333333333333,0.0,0.5,-4,6,0.0,6,1.6318232160483281
21.586000000000002,-3.0,0.0,0.5,-6,6,0.0,1,7.793000000000001
0.0,-6.0,0.0,1.0,6,6,0.0,1,-16.793
3.780140318634089,-2.6666666666666665,0.0,1.0,4,6,0.0,6,-13.01285968136591
7.263189433044877,-0.6666666666666666,0.0,1.0,2,6,0.0,15,-9.529810566955122
10.48577319808696,-0.0,0.0,1.0,0,6,0.0,20,-6.307226801913039
13.460681701377563,-0.6666666666666666,0.0,1.0,-2,6,0.0,15,-3.332318298622437
